Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_Abiebrac,SppBiomass_Abiegran,SppBiomass_Acermacr,SppBiomass_Aesccali,SppBiomass_Alnurhom,SppBiomass_Alnurubr,SppBiomass_Arbumenz,SppBiomass_Lithdens,SppBiomass_Pinuatte,SppBiomass_Pinucoul,SppBiomass_Pinulamb,SppBiomass_Pinumono,SppBiomass_Pinupond,SppBiomass_Pinuradi,SppBiomass_Pinusabi,SppBiomass_Platrace,SppBiomass_Popubals,SppBiomass_Pseumacr,SppBiomass_Pseumenz,SppBiomass_Queragri,SppBiomass_Querchry,SppBiomass_Querdoug,SppBiomass_Quergarr,SppBiomass_Querkell,SppBiomass_Querloba,SppBiomass_Querwisl,SppBiomass_Sequsemp,SppBiomass_Umbecali,
0, BS10, 10, 8198, 0.00494877138670609, 0, 0.0492156564218732, 0.0341720986174327, 0.00710464646450395, 0.0126832266440186, 0.732573909391918, 1.13953997862575, 0, 0.0290825352578025, 0.000129909726520026, 0, 0.0511849007975273, 1.75684931319526, 0.117670828262519, 0.0120219200027952, 0, 0.000494841512571634, 0.000209451885041914, 34.6463805780553, 3.8602082568804, 0, 0, 0.0497731315592319, 0.0260643489944205, 0.115940509670739, 1.61039709511196, 3.57493916718836, 
0, BS11, 11, 44097, 0.0152843050571013, 0, 0.162926319908692, 0.0610723562634424, 0.0207134099883293, 0.058585183232307, 10.2820753112932, 11.2510704879904, 0.00136862813927655, 5.06287614827816, 0.000338118219655677, 0.00519531735336467, 0.0972951454816417, 1.35352916828042, 0.197706067281226, 0.294138964367045, 0, 0.00128793228747696, 0.103273594258045, 22.1783819039219, 12.9581112727115, 0.707257131039373, 0.0200546000239925, 0.569180368558023, 0.514032134302139, 3.72378041568677, 39.1634094185939, 8.6241652745007, 
0, BS12, 12, 101947, 0.0988249075701925, 0, 0.528826597859641, 0.35897047974996, 0.0726243717477011, 0.053603798242516, 17.9080721414945, 22.3678114153619, 0.00498460790322329, 1.12497920711316, 1.04466040002273E-05, 4.94931123430375E-05, 0.359399943232147, 1.4290888415677, 0.201822870953811, 0.199625816967483, 0.00289610928092586, 3.97923501433319E-05, 1.52858320119255, 90.6336317234719, 13.2649303856236, 0.40657309452062, 0.0654908397385353, 2.46402350168216, 0.462896380441852, 17.154922326688, 87.0243126942048, 25.1502271141956, 
0, BS13, 13, 40960, 0.0034779186011292, 0, 0.0782954878022792, 0.0214498820889276, 0.00124948434531689, 0.00234323374461383, 1.26331645771861, 0.866256860992871, 0.000202942930627614, 0.40658561186865, 3.90014625736512E-05, 0, 0.00380712304322515, 1.28387024668045, 0.405008208518848, 0.161551109491847, 0, 0.00014856118359603, 0.0170678969065193, 19.5039668827318, 0.220488231629133, 0.469056372548221, 0.0108791809529066, 0.142964950576425, 0.103424207313219, 0.401494393823668, 5.15536582402128, 1.07456143717282, 
0, BS14, 14, 9639, 0.00128513733521204, 0, 0.345574175650069, 0.171068748852464, 0.00706769297362635, 0.0246167710515297, 3.52170080960026, 3.79301858574093, 0.00173093718801721, 0.462029015972154, 0, 0, 0.0200672624071353, 0.451819280059843, 0.469681351124739, 0.160701810973526, 0, 0, 0.0646285224176069, 34.2374437549622, 8.26289352721131, 0.325736167631477, 0.0177334410383167, 0.730241606178367, 0.306309044837259, 1.47089263060467, 15.9073524089853, 5.57445906855677, 
0, BS15, 15, 7283, 0.00170087035206768, 0, 0.264874521258783, 0.0269372216394506, 0.00653222594862863, 0.0120802713622272, 3.25396060040081, 3.05165968114132, 0, 0.312763284756295, 0.0001462309402734, 0, 0.0127892561965831, 2.47347168881177, 0.00946102910982651, 0.0795438727981586, 0, 0.000557010946047268, 0.00028462716385049, 16.7415119353418, 0.608392458474032, 0.162481788617969, 0.0129860807673119, 0.590848597657888, 0.195487896328556, 0.874953593655175, 14.680921444866, 1.43427051175971, 
0, BS16, 16, 55866, 0.203754157400864, 0, 0.845873230062947, 0.0754125744837361, 0.304771678893185, 0.0290320536779016, 23.1882235569681, 74.2283531308528, 0.0605734606389733, 0.967759105682339, 0, 0, 0.690080699264113, 3.68352333303468, 0.265955124199081, 0.25407402205492, 0, 0, 4.57024660325736, 99.9792224136813, 11.0752890600971, 0.0478203485250447, 0.0121735830685636, 3.02788959384088, 0.11058887588484, 22.4476452509323, 213.116315929359, 30.3087070493459, 
0, BS17, 17, 2090, 0, 0, 0, 0, 0.005449421440015, 0, 0.0031968538840992, 0.157671990919341, 0, 0.239068321976365, 0, 0, 0, 12.5989451595471, 0.00739685451014761, 0.0089766911912763, 0, 0, 0.0147097976584184, 29.2763957183327, 0, 0, 0, 0, 0, 0.123756206548955, 2.83352230484976, 1.62419424376419, 
10, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, BS1, 1, 1268, 0, 0, 0.00163222863471094, 0.0484234722630835, 0, 0, 1.17176861040976, 2.26187694486383, 0, 0.274013245237362, 0, 0, 0.00693341506768476, 1.70983050674294, 0.00581744717498683, 0.00297331998024829, 0, 0, 0.00464558450957578, 3.29559268109054, 0.680264323291718, 0.00263085481872318, 0, 0.150361522515113, 0.00263085538280499, 0.407991490341511, 10.2255679125477, 0.688320195261236, 
