FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.45,28.13,19,250,2,Summer,All
87.52,14.19,21,290,1,Summer,All
90.83,18.29,19,290,1,Summer,All
90.88,22.27,10,90,1,Summer,All
87.2,24.3,18,50,2,Summer,All
85.81,20.29,24,250,1,Summer,All
87.52,23.21,24,250,1,Summer,All
88.15,12.51,21,250,1,Summer,All
89.09,13.2,27,270,1,Summer,All
87.35,19,18,290,1,Summer,All
88.75,22.03,32,250,1,Summer,All
88.8,25.5,14,250,2,Summer,All
84.95,26.8,29,180,2,Summer,All
86.8,17.99,23,290,1,Summer,All
86.85,20.11,27,250,1,Summer,All
84.25,16.36,29,160,1,Summer,All
84.3,17.68,27,250,1,Summer,All
84.35,18.95,29,230,1,Summer,All
85.24,22.68,27,230,1,Summer,All
86.48,6.19,48,250,1,Summer,All
89.04,21.54,16,70,1,Spring,All
89.27,23.85,16,70,2,Spring,All
82.68,24.44,31,50,2,Spring,All
82.72,25.37,35,50,2,Spring,All
82.77,26.25,29,50,2,Spring,All
89.89,33.81,27,290,2,Spring,All
92.11,38.62,32,270,3,Spring,All
92.16,43.3,29,230,3,Spring,All
87.42,36.57,13,110,3,Spring,All
86.73,22.94,23,290,1,Spring,All
89.35,26.63,14,250,2,Spring,All
85.48,28.94,40,290,2,Spring,All
87.56,31.2,32,290,2,Spring,All
87.61,32.93,23,340,2,Spring,All
88.79,35.96,5,320,3,Spring,All
88.03,38.77,13,50,3,Spring,All
88.27,33.19,8,200,2,Spring,All
85.96,31.54,32,290,2,Spring,All
89.58,39.44,13,270,3,Summer,All
87.38,39.24,16,200,3,Summer,All
85.2,37.63,23,230,3,Summer,All
89.35,41.82,29,230,3,Summer,All
91.17,46.46,23,270,4,Summer,All
87.54,48.62,24,50,4,Summer,All
85.91,50.6,16,230,4,Summer,All
86.62,54.12,40,270,4,Summer,All
92.92,60.68,16,250,4,Summer,All
94.42,67.32,27,250,5,Summer,All
93.99,72.13,29,180,5,Summer,All
91.37,75.84,19,290,5,Summer,All
92.67,80.66,29,270,5,Summer,All
